number of dependents,number of referrals,tenure in months,phone service,avg monthly long distance charges,multiple lines,internet service,internet type,avg monthly gb download,online security,online backup,device protection plan,premium tech support,unlimited data,contract,paperless billing,payment method,monthly charge,total revenue,churned,age_group
0,0,66,1,48.78,1,1,Fiber Optic,8.0,0,1,0,0,0,Month-to-Month,0,Credit Card,89.4,9200.36,0,55-64
0,0,2,1,36.81,0,1,Fiber Optic,16.0,1,1,0,1,1,Month-to-Month,1,Bank Withdrawal,86.25,255.27,1,35-44
0,0,44,1,7.72,0,1,DSL,17.0,0,0,1,1,1,One Year,0,Bank Withdrawal,74.85,3589.82,0,65-80
0,0,12,1,14.38,1,1,Fiber Optic,6.0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,89.75,1224.96,1,55-64
0,1,69,1,18.41,1,1,Fiber Optic,17.0,0,1,1,1,1,Two Year,1,Bank Withdrawal,109.95,8904.54,0,65-80
0,0,1,1,1.23,1,1,Fiber Optic,69.0,0,1,0,0,1,Month-to-Month,1,Mailed Check,80.2,81.43,1,25-34
0,0,3,1,25.75,0,0,No,0.0,0,0,0,0,0,Month-to-Month,0,Credit Card,19.85,141.0,1,18-24
0,10,2,1,4.65,0,1,Fiber Optic,53.0,1,1,0,0,1,Month-to-Month,0,Bank Withdrawal,90.35,199.8,0,18-24
0,0,27,1,2.97,1,1,Fiber Optic,4.0,0,1,1,0,1,Two Year,1,Bank Withdrawal,86.45,2481.24,0,65-80
0,0,26,1,13.34,0,0,No,0.0,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,20.3,858.09,0,55-64
0,9,39,1,20.15,1,1,Fiber Optic,21.0,0,0,0,1,1,Month-to-Month,1,Bank Withdrawal,101.25,4735.0,0,65-80
0,0,25,1,34.88,1,1,Fiber Optic,8.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,94.7,3234.1,1,35-44
0,0,1,1,39.81,0,1,Fiber Optic,23.0,0,0,0,0,1,Month-to-Month,0,Mailed Check,70.9,110.71,1,35-44
0,1,22,1,27.24,0,1,DSL,21.0,1,0,0,1,1,Month-to-Month,1,Bank Withdrawal,54.2,1751.98,1,45-54
0,0,72,1,48.37,1,1,Fiber Optic,5.0,1,1,1,1,1,Two Year,1,Bank Withdrawal,114.9,11979.34,0,55-64
0,0,24,1,10.64,0,0,No,0.0,0,0,0,0,0,Two Year,1,Bank Withdrawal,19.55,725.56,0,45-54
0,8,19,1,7.84,1,1,Fiber Optic,16.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,86.85,1713.36,0,25-34
2,2,71,1,9.2,1,0,No,0.0,0,0,0,0,0,Two Year,0,Credit Card,25.35,2500.75,0,18-24
0,7,33,1,25.15,1,1,Fiber Optic,20.0,1,0,1,1,1,One Year,1,Bank Withdrawal,109.9,4524.65,0,65-80
0,0,3,1,2.69,0,0,No,0.0,0,0,0,0,0,Month-to-Month,0,Credit Card,19.95,66.07,0,55-64
1,7,47,1,1.09,1,1,Fiber Optic,13.0,0,1,0,0,1,Month-to-Month,0,Bank Withdrawal,87.2,4068.68,0,45-54
3,2,62,1,1.76,0,1,Fiber Optic,20.0,1,1,1,1,1,Two Year,0,Credit Card,108.15,6934.77,0,35-44
0,0,71,1,2.88,1,1,Fiber Optic,48.0,1,1,1,1,1,One Year,1,Bank Withdrawal,116.3,8514.03,0,18-24
0,8,7,1,41.97,0,1,Fiber Optic,11.0,0,0,0,0,1,Two Year,1,Bank Withdrawal,89.0,899.24,0,65-80
2,6,27,1,46.66,0,1,Fiber Optic,28.0,1,0,0,0,1,Month-to-Month,0,Credit Card,74.4,3232.17,0,55-64
0,0,2,1,1.81,0,0,No,0.0,0,0,0,0,0,Month-to-Month,0,Credit Card,20.05,37.32,0,25-34
3,0,25,0,0.0,0,1,Cable,75.0,1,0,0,1,1,Two Year,0,Bank Withdrawal,35.05,844.45,0,25-34
0,0,30,1,38.61,0,1,DSL,5.0,1,1,0,0,1,One Year,1,Bank Withdrawal,74.75,3269.6,0,65-80
0,1,58,1,16.94,0,1,Fiber Optic,19.0,1,1,0,1,1,One Year,1,Credit Card,105.5,7188.02,1,65-80
0,1,10,1,2.02,1,1,Fiber Optic,82.0,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,85.25,975.5,1,25-34
0,0,9,1,9.27,1,1,Fiber Optic,28.0,0,0,0,0,1,Month-to-Month,1,Credit Card,75.2,717.28,0,55-64
0,1,6,1,28.71,1,1,Fiber Optic,17.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,84.35,647.16,1,65-80
1,7,69,1,38.92,1,1,Fiber Optic,16.0,1,0,1,0,0,One Year,0,Bank Withdrawal,84.45,8574.08,0,45-54
0,0,66,1,10.45,1,1,Fiber Optic,20.0,1,0,0,0,1,Two Year,1,Bank Withdrawal,102.4,7161.55,0,65-80
0,0,70,1,10.21,1,1,Fiber Optic,52.0,1,1,1,1,1,One Year,0,Credit Card,115.55,8842.3,1,25-34
0,0,25,1,5.57,1,0,No,0.0,0,0,0,0,0,One Year,0,Bank Withdrawal,25.3,815.6,1,55-64
2,1,46,1,24.33,0,0,No,0.0,0,0,0,0,0,Two Year,1,Credit Card,19.25,1983.38,0,45-54
0,7,54,1,11.4,1,1,Fiber Optic,26.0,1,1,1,1,1,One Year,1,Credit Card,114.65,6665.1,0,55-64
0,0,15,1,22.39,0,1,Fiber Optic,7.0,1,0,1,1,1,Month-to-Month,0,Bank Withdrawal,105.1,1918.6,1,45-54
1,0,12,1,8.25,0,0,No,0.0,0,0,0,0,0,Month-to-Month,0,Bank Withdrawal,19.4,297.1,0,45-54
0,0,22,0,0.0,0,1,Cable,22.0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,50.35,1098.85,0,45-54
0,9,70,0,0.0,0,1,Cable,85.0,0,1,1,1,1,Two Year,0,Bank Withdrawal,57.8,4038.29,0,18-24
0,0,30,1,24.73,0,1,Fiber Optic,20.0,1,1,1,0,0,Month-to-Month,1,Credit Card,84.3,3310.5,0,45-54
1,1,71,1,28.34,1,1,Fiber Optic,59.0,0,1,0,0,1,One Year,0,Bank Withdrawal,100.55,9108.9,0,18-24
0,2,30,1,9.81,0,0,No,0.0,0,0,0,0,0,One Year,0,Credit Card,19.8,870.95,0,25-34
0,5,4,1,28.77,1,1,Fiber Optic,19.0,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,84.8,486.98,1,25-34
0,0,2,1,14.14,0,1,Fiber Optic,28.0,0,0,1,0,1,Month-to-Month,1,Bank Withdrawal,85.85,195.58,1,55-64
1,0,10,1,7.86,0,0,No,0.0,0,0,0,0,0,One Year,1,Bank Withdrawal,19.95,298.1,0,18-24
0,0,4,1,36.4,0,1,Fiber Optic,29.0,1,0,0,0,1,One Year,0,Bank Withdrawal,75.35,419.0,0,65-80
0,0,52,0,0.0,0,1,DSL,19.0,1,0,0,0,1,Two Year,1,Credit Card,48.8,2555.05,0,65-80
0,0,5,1,22.01,1,1,Cable,85.0,0,0,0,0,1,Month-to-Month,0,Bank Withdrawal,47.15,333.2,1,25-34
3,1,8,1,2.87,0,0,No,0.0,0,0,0,0,0,Two Year,0,Credit Card,20.15,188.46,0,25-34
0,0,2,1,23.91,0,1,Cable,22.0,0,0,0,0,1,One Year,1,Bank Withdrawal,44.3,137.12,0,65-80
0,0,3,1,13.72,0,1,Fiber Optic,26.0,0,1,0,0,1,Month-to-Month,0,Bank Withdrawal,84.3,276.21,0,45-54
0,0,19,1,11.85,1,1,DSL,18.0,0,0,1,1,1,Month-to-Month,0,Bank Withdrawal,59.55,1369.75,0,35-44
0,0,72,1,3.66,1,1,DSL,13.0,1,1,1,1,1,Two Year,0,Bank Withdrawal,69.65,5171.77,0,45-54
0,2,63,0,0.0,0,1,DSL,7.0,1,0,0,1,1,One Year,0,Bank Withdrawal,36.1,2298.9,0,65-80
0,1,66,0,0.0,0,1,DSL,29.0,1,1,1,1,1,Two Year,1,Bank Withdrawal,56.6,3789.2,0,35-44
0,0,1,1,44.56,0,1,Fiber Optic,27.0,0,0,0,1,1,Month-to-Month,1,Bank Withdrawal,75.9,120.46,1,18-24
0,0,60,1,15.29,1,1,Fiber Optic,48.0,0,0,1,0,1,One Year,1,Bank Withdrawal,79.2,5682.4,0,18-24
3,3,48,0,0.0,0,1,DSL,22.0,1,0,1,0,1,One Year,0,Credit Card,45.0,2196.3,0,35-44
0,0,1,1,33.34,0,1,Fiber Optic,4.0,0,0,1,0,1,Month-to-Month,1,Credit Card,85.55,118.89,1,45-54
0,0,15,1,48.93,1,1,Fiber Optic,15.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,93.35,2178.6,1,45-54
0,4,50,1,34.57,1,1,Fiber Optic,13.0,1,1,0,1,1,Month-to-Month,1,Bank Withdrawal,109.65,7134.3,0,55-64
1,10,72,1,33.75,1,1,Cable,30.0,1,1,1,1,1,Two Year,0,Credit Card,89.7,8769.3,0,25-34
0,0,46,1,43.27,1,1,Fiber Optic,21.0,1,1,0,0,0,Month-to-Month,0,Credit Card,84.25,5938.02,0,35-44
1,4,72,1,30.0,1,1,DSL,19.0,1,1,1,1,1,Two Year,0,Bank Withdrawal,92.65,8893.0,0,35-44
3,2,1,1,34.28,0,0,No,0.0,0,0,0,0,0,Month-to-Month,0,Credit Card,19.7,53.98,0,35-44
0,0,1,1,29.13,1,1,Cable,51.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,50.1,79.23,0,18-24
0,0,67,1,2.57,0,1,Fiber Optic,21.0,1,1,0,1,1,Two Year,1,Bank Withdrawal,92.45,6313.04,0,65-80
1,5,48,1,8.94,1,1,DSL,27.0,0,1,0,1,1,Two Year,0,Bank Withdrawal,79.65,4299.42,0,35-44
0,0,72,1,41.91,0,1,Fiber Optic,73.0,1,1,1,1,1,Two Year,1,Bank Withdrawal,109.9,10641.72,0,18-24
0,6,52,1,41.34,1,1,Cable,24.0,1,1,1,1,1,One Year,1,Credit Card,81.4,6504.13,0,55-64
3,1,67,1,46.9,0,1,Cable,28.0,0,1,0,0,1,One Year,0,Credit Card,50.55,6574.05,0,35-44
0,1,28,1,16.85,0,1,Fiber Optic,13.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,81.05,2698.9,1,55-64
1,9,32,1,33.28,1,1,DSL,51.0,0,1,1,0,1,Month-to-Month,0,Bank Withdrawal,62.45,3110.51,0,25-34
0,2,27,1,7.02,0,1,Cable,25.0,1,0,0,0,1,Month-to-Month,1,Bank Withdrawal,75.2,2118.89,1,65-80
0,0,3,1,31.48,0,1,Fiber Optic,73.0,0,1,1,0,1,Month-to-Month,0,Bank Withdrawal,90.4,362.89,0,18-24
0,0,2,1,40.43,1,1,Cable,27.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,85.65,262.36,1,18-24
2,0,9,1,35.49,0,1,Cable,11.0,0,0,1,1,1,Month-to-Month,1,Credit Card,72.9,970.81,1,45-54
2,10,50,1,44.49,1,1,Cable,28.0,1,0,0,1,1,Two Year,1,Credit Card,70.5,5711.15,0,45-54
2,1,71,1,31.03,0,0,No,0.0,0,0,0,0,0,Two Year,0,Bank Withdrawal,20.1,3592.73,0,45-54
0,2,32,1,47.34,1,1,Fiber Optic,10.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,74.9,3818.23,1,65-80
3,10,16,1,27.27,0,1,Fiber Optic,76.0,1,0,1,0,1,Month-to-Month,0,Bank Withdrawal,100.7,1959.02,0,55-64
3,8,67,1,17.79,1,1,Fiber Optic,22.0,0,0,1,1,1,Two Year,1,Bank Withdrawal,105.65,7909.83,0,45-54
1,1,72,1,15.94,1,1,Fiber Optic,13.0,1,1,1,1,1,Two Year,1,Credit Card,114.3,9206.23,0,35-44
0,0,3,1,24.63,0,0,No,0.0,0,0,0,0,0,Month-to-Month,0,Bank Withdrawal,19.75,132.74,1,35-44
3,1,23,1,48.02,1,0,No,0.0,0,0,0,0,0,One Year,0,Credit Card,24.35,1642.96,0,18-24
2,1,72,1,28.37,1,1,DSL,18.0,1,1,1,1,1,Two Year,0,Bank Withdrawal,69.85,7119.75,0,55-64
2,9,7,0,0.0,0,1,Cable,47.0,1,1,1,0,1,Month-to-Month,0,Credit Card,-3.0,465.7,0,18-24
3,10,8,1,1.56,0,1,DSL,57.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,54.4,487.58,0,45-54
4,9,66,0,0.0,0,1,Cable,23.0,0,0,0,1,0,Two Year,0,Bank Withdrawal,50.55,3474.55,0,25-34
0,0,5,1,34.26,0,0,No,0.0,0,0,0,0,0,Month-to-Month,0,Credit Card,21.05,285.15,1,25-34
1,0,49,1,44.33,1,1,Fiber Optic,11.0,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,103.7,7208.47,1,35-44
0,2,63,1,38.36,0,0,No,0.0,0,0,0,0,0,Two Year,1,Bank Withdrawal,19.95,3651.48,0,55-64
1,1,12,0,0.0,0,1,DSL,14.0,0,0,0,1,1,Month-to-Month,1,Mailed Check,29.3,355.9,0,65-80
6,5,27,1,36.19,0,1,DSL,53.0,1,1,0,0,1,Month-to-Month,1,Credit Card,54.75,2487.43,0,45-54
0,0,35,1,44.81,0,1,DSL,20.0,1,1,1,0,1,Month-to-Month,0,Bank Withdrawal,60.55,3550.95,0,55-64
2,7,54,1,4.33,1,1,DSL,12.0,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,86.2,4757.87,0,35-44
0,0,1,1,5.59,1,1,Fiber Optic,2.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,95.45,101.04,1,55-64
0,0,5,1,13.96,0,1,DSL,5.0,0,0,1,1,1,Month-to-Month,1,Credit Card,63.95,387.9,0,35-44
0,0,19,1,41.79,0,1,DSL,6.0,0,1,0,1,0,One Year,1,Bank Withdrawal,65.35,2085.86,0,55-64
2,1,52,0,0.0,0,1,DSL,17.0,0,1,1,1,1,Two Year,0,Credit Card,50.2,2526.99,0,35-44
3,8,72,0,0.0,0,1,DSL,22.0,1,1,1,1,1,Two Year,1,Bank Withdrawal,63.8,4684.3,0,55-64
0,0,32,1,14.91,0,0,No,0.0,0,0,0,0,0,Two Year,1,Bank Withdrawal,20.05,1081.84,0,45-54
0,1,8,1,16.88,0,1,Fiber Optic,6.0,0,1,1,0,1,Month-to-Month,0,Bank Withdrawal,101.15,977.94,1,45-54
0,0,41,1,37.55,1,1,DSL,30.0,0,0,1,0,0,One Year,0,Mailed Check,65.0,4211.35,0,35-44
0,0,5,1,21.01,0,0,No,0.0,0,0,0,0,0,Month-to-Month,1,Credit Card,19.25,191.1,0,25-34
1,0,11,0,0.0,0,1,DSL,17.0,1,0,0,1,0,One Year,1,Credit Card,36.05,502.6,0,45-54
0,0,5,1,31.09,0,1,Fiber Optic,11.0,0,0,0,1,1,Month-to-Month,1,Bank Withdrawal,96.1,608.85,1,55-64
0,0,16,1,41.51,0,0,No,0.0,0,0,0,0,0,One Year,0,Credit Card,19.05,990.81,0,55-64
0,0,71,1,6.1,1,1,Fiber Optic,9.0,0,1,0,1,1,One Year,0,Bank Withdrawal,105.75,7815.95,0,65-80
0,0,11,0,0.0,0,1,DSL,59.0,0,1,1,1,1,One Year,1,Credit Card,40.4,422.6,0,18-24
0,1,61,1,49.33,1,1,Fiber Optic,7.0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,99.15,9019.18,1,55-64
0,2,71,1,23.06,0,1,Cable,6.0,1,1,1,1,1,One Year,1,Bank Withdrawal,84.8,7683.36,0,45-54
0,0,9,1,40.74,0,0,No,0.0,0,0,0,0,0,Month-to-Month,0,Credit Card,19.85,545.46,0,55-64
0,0,6,1,39.16,0,1,DSL,8.0,1,0,0,0,1,Month-to-Month,1,Bank Withdrawal,49.45,549.56,0,55-64
0,0,26,1,38.09,0,1,Fiber Optic,22.0,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,88.8,3314.69,1,55-64
0,0,6,1,6.98,0,1,Cable,30.0,1,1,0,0,0,Month-to-Month,0,Mailed Check,55.15,364.78,0,25-34
0,0,11,1,30.57,0,1,Fiber Optic,15.0,0,0,1,0,1,Month-to-Month,0,Bank Withdrawal,84.8,1225.02,0,45-54
0,1,1,1,43.67,0,1,Fiber Optic,73.0,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,80.55,124.22,1,25-34
0,10,49,1,2.82,0,0,No,0.0,0,0,0,0,0,Two Year,1,Bank Withdrawal,20.15,1111.53,0,25-34
2,9,3,1,11.47,0,1,DSL,51.0,0,1,0,0,1,Month-to-Month,1,Credit Card,58.7,203.01,0,25-34
0,0,53,1,43.57,0,1,Fiber Optic,13.0,1,1,1,1,1,Two Year,0,Credit Card,99.5,7733.46,0,45-54
